DateComtd,DayComtd,TimeComtd,Barangay,X,Y,CrimeType,CrimeCategory,Classification,CaseStat,Solved,Cleared,"Place of Occurrence"
23/01/2020,Thursday,16:30:00,Banilad,123.293251,9.279311,"NON-INDEX CRIME",OTHERNONINDEX,"Malicious Mischief","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
23/01/2020,Thursday,17:00:00,"Poblacion No. 2 (Barangay 2)",123.309166,9.302309,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
23/01/2020,Thursday,17:00:00,"Poblacion No. 2 (Barangay 2)",123.309166,9.302309,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
23/01/2020,Thursday,19:00:00,Cadawinonan,123.274094,9.299731,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
24/01/2020,Friday,8:00:00,"Poblacion No. 3 (Barangay 3)",123.306,9.305493,"INDEX CRIME",THEFT,Salisi,"Victim refused to file a case",Yes,Yes,"(Commercial-Business Establishments) - Grocery / Convenience Store / Sari sari Store"
24/01/2020,Friday,2:25:00,Piapi,123.307274,9.319355,"INDEX CRIME",THEFT,Salisi,"Victim refused to file a case",Yes,Yes,"(Commercial-Business Establishments) - Grocery / Convenience Store / Sari sari Store"
24/01/2020,Friday,11:50:00,"Poblacion No. 3 (Barangay 3)",123.30574,9.305861,"NON-INDEX CRIME",SPECIALLAWS,"PD 1602 / RA 9287  (GAMBLING)","Filed in Pros / Court",No,Yes,"(Inside Residences) - Public Residential Area"
23/01/2020,Thursday,20:18:00,Batinguel,123.290321,9.309821,"NON-INDEX CRIME",OTHERNONINDEX,"Grave Threats","Filed in Pros / Court",No,Yes,"(Inside Residences) - Public Residential Area"
23/01/2020,Thursday,20:18:00,Batinguel,123.290321,9.309821,"NON-INDEX CRIME",SPECIALLAWS,"RA 10591 / 8294 (FIREARMS & EXPLOSIVES)","Filed in Pros / Court",No,Yes,"(Inside Residences) - Public Residential Area"
23/01/2020,Thursday,20:18:00,Batinguel,123.290321,9.309821,"INDEX CRIME",PHYSICALINJURIES,"Attemptd/Frustd Homicide","Filed in Pros / Court",No,Yes,"(Inside Residences) - Public Residential Area"
24/01/2020,Friday,16:50:00,Bagacay,123.296944,9.300699,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
24/01/2020,Friday,23:00:00,Looc,123.31002,9.314103,"NON-INDEX CRIME",OTHERNONINDEX,"Malicious Mischief","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
25/01/2020,Saturday,2:25:00,Piapi,123.311943,9.321557,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
25/01/2020,Saturday,8:45:00,Calindagan,123.307861,9.301038,"NON-INDEX CRIME",OTHERNONINDEX,"Malicious Mischief","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
25/01/2020,Saturday,14:40:00,"Poblacion No. 3 (Barangay 3)",123.305573,9.307878,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
25/01/2020,Saturday,18:15:00,Calindagan,123.307159,9.30017,"NON-INDEX CRIME",OTHERNONINDEX,"Malicious Mischief","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
25/01/2020,Saturday,23:45:00,Calindagan,123.308678,9.300395,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
26/01/2020,Sunday,11:25:00,Mangnao-Canal,123.301941,9.292653,"NON-INDEX CRIME",OTHERNONINDEX,"Malicious Mischief","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
26/01/2020,Sunday,16:00:00,Bagacay,123.297379,9.304874,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
27/01/2020,Monday,10:00:00,"Poblacion No. 3 (Barangay 3)",123.304779,9.306757,"INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
27/01/2020,Monday,14:30:00,"Poblacion No. 3 (Barangay 3)",123.306267,9.306314,"NON-INDEX CRIME",OTHERNONINDEX,"Assault/Resistance to Authority","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
27/01/2020,Monday,14:30:00,"Poblacion No. 3 (Barangay 3)",123.306267,9.306314,"NON-INDEX CRIME",OTHERNONINDEX,"Assault/Resistance to Authority","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
27/01/2020,Monday,14:30:00,Taclobo,123.296066,9.307836,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
27/01/2020,Monday,12:30:00,Piapi,123.311745,9.3245,"NON-INDEX CRIME",OTHERNONINDEX,"Malicious Mischief","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
28/01/2020,Tuesday,17:05:00,Calindagan,123.308556,9.299241,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
29/01/2020,Wednesday,1:00:00,Cadawinonan,123.268852,9.303979,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
29/01/2020,Wednesday,1:00:00,Cadawinonan,123.268852,9.303979,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
28/01/2020,Tuesday,15:45:00,Banilad,123.297241,9.291006,"NON-INDEX CRIME",OTHERNONINDEX,"Unjust Vexation","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
29/01/2020,Wednesday,9:20:00,Taclobo,123.300964,9.305939,"INDEX CRIME",THEFT,Salisi,"Filed in Pros / Court",Yes,Yes,"(Commercial-Business Establishments) - Grocery / Convenience Store / Sari sari Store"
29/01/2020,Wednesday,12:30:00,"Poblacion No. 3 (Barangay 3)",123.30835,9.307669,"INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
29/01/2020,Wednesday,12:30:00,"Poblacion No. 3 (Barangay 3)",123.30835,9.307669,"NON-INDEX CRIME",OTHERNONINDEX,Threat/Coercion,"Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
28/01/2020,Tuesday,8:30:00,Calindagan,123.30471,9.298222,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
